qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
7534,988,840,3,18,15,99503,99646,
7535,988,154,210,8,16,99516,,
7536,988,842,5,10,17,99724,,
7537,988,836,15,94,18,99930,,
7538,988,828,15,9,19,99994,,
7539,988,843,5,28,20,100471,,
7540,989,1,131,44,1,82824,82051,81164
7541,989,8,6,7,2,83096,82507,81828
7542,989,20,6,5,3,83348,81944,81838
7543,989,830,9,33,4,83483,82416,81879
7544,989,817,9,3,5,83494,82897,82152
7545,989,825,210,20,6,83909,83300,83187
7546,989,154,210,8,7,83671,83468,83339
7547,989,807,4,27,8,83782,83544,83532
7548,989,832,4,55,9,83529,83061,83577
7549,989,822,131,77,10,83686,82089,
7550,989,4,1,14,11,83597,83692,
7551,989,838,1,2,12,84073,83853,
7552,989,815,10,11,13,84344,84005,
7553,989,840,3,18,14,84464,84230,
7554,989,839,10,31,15,84503,84786,
7555,989,843,5,28,16,84532,,
7556,989,828,15,9,17,84556,,
7557,989,844,15,16,18,84636,,
7558,989,845,3,35,19,84922,,
7559,989,842,5,10,20,85295,,
7560,990,20,6,5,1,89060,88341,87958
7561,990,8,6,7,2,88951,88515,88101
7562,990,822,131,77,3,89275,88794,88124
7563,990,1,131,44,4,89396,88458,88220
7564,990,817,9,3,5,89552,88962,88398
7565,990,842,5,10,6,90121,89836,89329
7566,990,825,210,20,7,89594,89623,89358
7567,990,807,4,27,8,90260,89187,89570
7568,990,839,10,31,9,90338,90009,89874
7569,990,832,4,55,10,89893,89802,89986
7570,990,843,5,28,11,90412,90105,
7571,990,815,10,11,12,90218,90156,
7572,990,4,1,14,13,90530,90212,
7573,990,838,1,2,14,90479,90525,
7574,990,830,9,33,15,89374,,
7575,990,154,210,8,16,90530,,
7576,990,828,15,9,17,91063,,
7577,990,845,3,35,18,91414,,
7578,990,844,15,16,19,91420,,
7579,990,840,3,18,20,91503,,
7580,991,20,6,5,1,92171,92384,91095
7581,991,8,6,7,2,92473,92286,91182
7582,991,822,131,77,3,92921,92063,91625
7583,991,1,131,44,4,93283,91914,91675
7584,991,830,9,33,5,92932,92809,91796
7585,991,817,9,3,6,93877,92688,91948
7586,991,807,4,27,7,93545,92494,92531
7587,991,815,10,11,8,93464,92931,92758
7588,991,832,4,55,9,93315,92970,92819
7589,991,154,210,8,10,93238,92524,92855
7590,991,825,210,20,11,93359,92986,
7591,991,839,10,31,12,93585,93057,
7592,991,4,1,14,13,93428,93232,
7593,991,838,1,2,14,93824,93505,
7594,991,843,5,28,15,94013,93795,
7595,991,845,3,35,16,94062,,
7596,991,842,5,10,17,94101,,
7597,991,840,3,18,18,94285,,
7598,991,844,15,16,19,94454,,
7599,991,828,15,9,20,94914,,
7600,992,20,6,5,1,102762,103015,101498
7601,992,1,131,44,2,102693,102676,101677
7602,992,822,131,77,3,103355,102679,101837
7603,992,817,9,3,4,102857,103482,101911
7604,992,830,9,33,5,102642,102901,101994
7605,992,8,6,7,6,102538,102510,102490
7606,992,839,10,31,7,103021,102967,102523
7607,992,815,10,11,8,103992,103366,102547
7608,992,807,4,27,9,103746,103232,103066
7609,992,832,4,55,10,103426,103464,103351
7610,992,840,3,18,11,104359,103585,
7611,992,845,3,35,12,104261,103886,
7612,992,4,1,14,13,104010,104019,
7613,992,844,15,16,14,103752,104074,
7614,992,825,210,20,15,103674,104759,
7615,992,838,1,2,16,104489,,
7616,992,842,5,10,17,104496,,
7617,992,828,15,9,18,105541,,
7618,992,843,5,28,19,117354,,
7619,992,154,210,8,20,,,
7620,993,1,131,44,1,77633,77166,76172
7621,993,822,131,77,2,77674,77111,76213
7622,993,20,6,5,3,77031,76802,76305
7623,993,8,6,7,4,77483,77071,76612
7624,993,830,9,33,5,77411,77266,76816
7625,993,817,9,3,6,77623,77638,76818
7626,993,825,210,20,7,78169,77618,77676
7627,993,4,1,14,8,78276,78100,77721
7628,993,832,4,55,9,78480,77803,77790
7629,993,154,210,8,10,78305,77699,77835
7630,993,838,1,2,11,78885,78323,
7631,993,842,5,10,12,78550,78463,
7632,993,839,10,31,13,78813,78696,
7633,993,844,15,16,14,78661,78910,
7634,993,815,10,11,15,78740,79098,
7635,993,807,4,27,16,78923,,
7636,993,828,15,9,17,79493,,
7637,993,845,3,35,18,79695,,
7638,993,840,3,18,19,80225,,
7639,993,843,5,28,20,,,
7640,994,817,9,3,1,72013,71278,70810
7641,994,20,6,5,2,72415,71518,71039
7642,994,1,131,44,3,72460,71584,71232
7643,994,8,6,7,4,72639,71391,71266
7644,994,4,1,14,7,72657,72269,72110
7645,994,832,4,55,8,72950,72286,72130
7646,994,815,10,11,9,72848,72194,72154
7647,994,842,5,10,10,72941,72313,72221
7648,994,838,1,2,12,72463,72440,
7649,994,845,3,35,13,72706,72521,
7650,994,844,15,16,14,72829,72714,
7651,994,154,210,8,15,72930,72728,
7652,994,843,5,28,16,73179,,
7653,994,828,15,9,17,73265,,
7654,994,840,3,18,18,73323,,
7655,994,825,210,20,19,73393,,
7656,994,830,9,33,20,,,
7657,994,822,131,77,5,72434,72002,71441
7658,994,839,10,31,6,73028,72188,72061
7659,994,807,4,27,11,73065,72411,
7660,995,20,6,5,1,71710,71524,70764
7661,995,822,131,77,2,71950,71514,70857
7662,995,830,9,33,3,72008,71472,70937
7663,995,1,131,44,4,71835,71740,70996
7664,995,8,6,7,5,71725,71620,71095
7665,995,817,9,3,6,72459,71434,71116
7666,995,807,4,27,7,72795,71916,71973
7667,995,839,10,31,8,72577,72141,72084
7668,995,832,4,55,9,72689,72097,72168
7669,995,815,10,11,10,72702,72395,72671
7670,995,843,5,28,12,72587,72635,
7671,995,4,1,14,14,72979,72856,
7672,995,838,1,2,15,72998,72865,
7673,995,842,5,10,16,73047,,
7674,995,840,3,18,17,73590,,
7675,995,845,3,35,18,73643,,
7676,995,828,15,9,19,74593,,
7677,995,154,210,8,20,,,
7678,995,825,210,20,11,72680,72606,
7679,995,844,15,16,13,72945,72661,
7680,996,1,131,44,1,91271,90645,90029
7681,996,822,131,77,2,91776,91227,90147
7682,996,20,6,5,3,91820,90751,90400
7683,996,830,9,33,4,91531,90818,90705
7684,996,817,9,3,5,91910,91538,90895
7685,996,8,6,7,6,91567,90772,91057
7686,996,832,4,55,7,92394,92016,92125
7687,996,844,15,16,8,92537,92055,92634
7688,996,825,210,20,9,92168,91510,92930
7689,996,154,210,8,10,92083,91472,
7690,996,839,10,31,11,92786,92075,
7691,996,807,4,27,12,92949,92115,
7692,996,815,10,11,13,92692,92454,
7693,996,842,5,10,14,92447,92460,
7694,996,828,15,9,15,92804,92820,
7695,996,4,1,14,16,92976,,
7696,996,843,5,28,17,93025,,
7697,996,838,1,2,18,93162,,
7698,996,845,3,35,19,93636,,
7699,996,840,3,18,20,93729,,
7700,997,822,131,77,1,64175,63756,63130
7701,997,1,131,44,2,64080,63577,63149
7702,997,20,6,5,3,64347,63544,63464
7703,997,8,6,7,4,64234,63975,63660
7704,997,830,9,33,5,64273,64001,63840
7705,997,154,210,8,6,64242,64059,63892
7706,997,817,9,3,7,64723,64403,63996
7707,997,825,210,20,8,64460,64291,64051
7708,997,832,4,55,9,64948,64561,64725
7709,997,807,4,27,10,64864,64676,65019
7710,997,839,10,31,11,65148,64845,
